Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Burundi,1.075999975,1.05400002,1.006000042,0.986000001,0.874000013,0.762000024,0.763000011,0.800999999,0.797999978,0.801999986,0.796000004,0.786000013,0.796999991,0.742999971,0.808000028,0.802999973,0.828000009,0.822000027,0.842999995,0.838,0.842999995,0.862999976,0.88499999,0.898999989,0.824999988,0.813000023,0.79400003,0.777999997,0.762000024
Belgium,15.60499954,15.46399975,14.11499977,14.20100021,13.58100033,13.27700043,13.24300003,12.75699997,11.42000008,11.65699959,11.80000019,12.46800041,11.5880003,10.84700012,11.32199955,10.73600006,11.01000023,10.27999973,9.711999893,10.07299995,9.670999527,8.630000114,8.569999695,8.315999985,8.359999657,8.170999527,8.57199955,8.451999664,8.333999634
Benin,14.77700043,14.91300011,14.93400002,19.3390007,18.91399956,19.24099922,19.41699982,19.19400024,19.42099953,19.40099907,19.47299957,19.55900002,19.37299919,19.0510006,19.05400085,18.85199928,18.35899925,17.8010006,17.67700005,17.47999954,17.27199936,17.09199905,17.21500015,17.25399971,17.59399986,17.51399994,17.56500053,17.62999916,17.69799995
Burkina Faso,4.578999996,4.59800005,4.592999935,4.538000107,5.423999786,6.133999825,7.001999855,7.755000114,8.597999573,8.911000252,9.730999947,10.68700027,12.61600018,13.99199963,15.18900013,16.81500053,18.31900024,19.68499947,21.58699989,23.62899971,26.21500015,28.36000061,30.10300064,32.5909996,32.6230011,33.74399948,33.91999817,34.09700012,34.25500107
Bangladesh,7.735000134,7.815000057,7.829999924,7.778999805,7.65500021,7.455999851,7.565000057,7.770999908,8.116999626,8.647999763,9.010000229,9.505000114,10.11200047,10.82699966,11.65499973,12.49699974,12.61699963,12.7510004,12.89099979,13.04500008,13.48600006,13.94099998,14.42000008,14.90299988,15.4090004,15.94099998,16.77899933,16.73699951,16.69599915
Bulgaria,36.52000046,35.85200119,34.63399887,33.48699951,32.44599915,31.1989994,30.4090004,29.27400017,28.31999969,27.26199913,28.84199905,28.80599976,27.9829998,28.52599907,28.8390007,28.01799965,28.48500061,28.62999916,26.81999969,24.07099915,23.90699959,25.08799934,23.83399963,23.21299934,22.74099922,22.36899948,22.54000092,22.35400009,22.16300011
Bahrain,7.28000021,7.600999832,7.946000099,8.774999619,9.545999527,9.956000328,10.61999989,11.00599957,11.70100021,12.55500031,13.4119997,12.50899982,11.65200043,10.89299965,10.37300014,9.977000237,9.647000313,9.487999916,9.041000366,9.043000221,9.097999573,9.072999954,9.065999985,9.071000099,9.204000473,9.18599987,9.076999664,8.972999573,8.87899971
"Bahamas, The",5.138000011,5.087999821,4.808000088,5.245999813,5.31799984,5.709000111,5.882999897,5.329999924,5.452000141,5.788000107,6.122000217,4.278999805,5.486999989,5.09499979,5.041999817,5.039999962,5.354000092,4.144999981,3.609999895,3.601000071,3.559000015,3.58100009,3.528000116,3.496000051,3.404999971,3.372999907,3.352999926,3.342000008,3.322999954
Bosnia and Herzegovina,23.5720005,23.57099915,23.39699936,22.80900002,22.03100014,20.13400078,19.31699944,18.99300003,18.54700089,18.31299973,18.125,17.92300034,17.7689991,17.55900002,17.29000092,17.13899994,17.00099945,16.85700035,16.8409996,16.67700005,16.56599998,16.4109993,16.36000061,16.08300018,16.00499916,15.75300026,15.79899979,15.62699986,15.48799992
Belarus,22.96899986,22.87700081,22.81999969,22.68899918,22.60700035,22.53199959,22.36899948,22.25,22.13999939,22.04800034,21.93799973,21.83799934,21.73500061,21.62100029,21.5170002,21.42000008,21.31299973,21.21800041,21.12299919,21.01300049,20.82699966,20.73999977,20.69599915,20.59000015,20.42399979,19.86599922,19.75499916,19.65800095,19.56800079
Belize,13.4659996,13.07699966,12.86900043,11.85599995,9.135000229,10.25,14.99800014,10.59399986,11.69200039,11.43500042,11.2329998,11.02700043,10.68700027,10.46899986,10.27499962,10.18700027,10.06999969,9.921999931,9.633999825,9.432999611,9.279999733,8.951000214,8.682999611,8.378000259,8.163999557,8.447999954,8.197999954,8.137000084,8.071000099
Bolivia,11.85000038,11.78100014,11.69900036,11.63399982,11.58899975,11.51000023,11.3760004,11.27299976,11.20800018,9.68999958,8.984999657,10.71700001,10.90600014,10.91600037,11.02799988,10.40600014,9.328000069,10.91300011,10.58300018,10.625,10.7159996,10.79300022,10.02200031,9.682999611,10.99800014,10.23900032,10.00699997,9.937999725,9.873000145
Brazil,14.51399994,14.45600033,14.40400028,14.34700012,14.24699974,14.19699955,14.06999969,13.69400024,13.58600044,13.11499977,12.68099976,12.49400043,12.58199978,12.70699978,13.06299973,12.80900002,12.97500038,13.35999966,12.98900032,12.26799965,11.57699966,12.6239996,12.21800041,11.94099998,11.65699959,10.76500034,10.6789999,10.57699966,10.45400047
Barbados,11.88700008,11.83399963,11.72500038,11.50199986,11.46100044,11.38500023,11.18500042,11.03100014,10.98499966,10.92500019,10.83300018,10.74499989,10.66800022,10.5909996,10.45100021,10.34399986,10.22700024,10.13599968,10.1420002,10.07400036,9.873000145,9.805999756,9.793000221,9.805999756,9.720999718,9.392000198,9.281999588,9.18500042,9.092000008
Brunei Darussalam,8.876999855,9.008999825,9.102000237,9.180000305,9.395000458,9.501000404,9.862000465,9.954000473,9.979000092,10.24499989,10.29800034,10.30099964,10.31700039,10.29100037,10.33300018,10.23900032,10.23999977,10.58899975,10.64299965,10.56599998,10.68799973,10.74499989,10.84599972,10.94299984,10.34700012,9.722999573,9.211999893,9.027999878,8.973999977
Bhutan,5.644000053,5.651000023,5.640999794,5.652999878,5.635000229,5.602000237,5.581999779,5.565999985,5.583000183,5.644999981,5.718999863,5.760000229,5.734000206,5.752999783,5.710000038,5.632999897,5.897999763,6.124000072,6.420000076,6.735000134,8.62899971,9.319000244,10.27799988,8.392999649,9.255000114,9.220000267,9.171999931,9.107000351,9.057999611
Botswana,20.12100029,19.93600082,19.66900063,19.54800034,19.43400002,19.38500023,16.98699951,15.86900043,14.90600014,14.22799969,14.85000038,15.60999966,16.34499931,15.28100014,14.25500011,13.25800037,12.29599953,11.19200039,10.32600021,10.24600029,10.17399979,10.04899979,9.970000267,9.902999878,9.883000374,9.805000305,9.756999969,9.706000328,9.642000198
Central African Republic,8.734999657,8.423999786,8.350999832,8.447999954,8.682999611,7.765999794,7.622000217,7.72300005,7.709000111,7.593999863,7.538000107,7.528999805,7.241000175,7.27699995,7.361000061,7.725999832,8.029999733,8.463999748,8.470000267,8.501999855,8.538999557,8.579999924,7.086999893,6.868000031,6.78000021,6.921000004,7.027999878,7.127999783,7.258999825
Canada,11.81799984,11.64299965,10.90299988,10.88199997,11.25199986,11.09300041,11.41499996,11.43900013,11.48900032,11.44799995,11.3039999,11.50199986,11.32999992,11.31799984,10.79800034,10.46000004,10.20699978,9.708000183,8.93900013,8.543000221,8.973999977,8.99600029,8.725999832,8.604000092,8.548000336,8.527000427,8.487999916,8.401000023,8.338000298
Central Europe and the Baltics,28.95049302,27.48773717,26.77289939,25.55823983,24.66006318,24.5590137,23.5073428,23.07799511,22.21316791,21.82106977,22.15650005,22.38972924,22.10562431,22.52344393,21.80379995,21.7956565,21.73483827,21.54721937,19.87622711,18.75876426,19.00040726,18.79821392,18.54167715,18.83919057,18.70707297,19.07369713,19.40178193,19.19126061,18.99714777
Switzerland,16.54899979,14.89999962,14.43500042,15.17000008,15.36699963,15.05000019,13.89999962,12.86800003,12.61200047,12.40600014,12.3380003,11.67399979,11.22999954,11.29800034,11.00699997,11.19299984,10.72999954,11.41100025,10.77000046,10.7130003,10.40400028,10.3039999,10.64700031,10.57800007,10.09700012,9.88599968,10.14099979,9.984000206,9.852000237
Channel Islands,19.44499969,18.98200035,18.65699959,18.4489994,18.22100067,17.89900017,17.66600037,17.41699982,17.18899918,16.94099998,16.68899918,16.49399948,16.2310009,15.89500046,15.59399986,15.30200005,14.98200035,14.76799965,14.69099998,14.52099991,14.22099972,14.04699993,13.85499954,13.72700024,13.61299992,13.43200016,13.23400021,13.00599957,12.78899956
Chile,14.98200035,15.03999996,16.15699959,14.89099979,14.5880003,14.95100021,14.41499996,13.85099983,12.61499977,12.30200005,12.95300007,12.06799984,11.81299973,12.26200008,11.55900002,11.34700012,10.94799995,11.42399979,10.80099964,10.23099995,10.4460001,10.73600006,10.60700035,10.70800018,11.18099976,11.09300041,10.79399967,10.70800018,10.61499977
China,24.50900078,24.81100082,25.66200066,26.46699905,27.28800011,27.85499954,27.77599907,27.43099976,26.89999962,26.56200027,26.17499924,25.78100014,25.84700012,26.53199959,27.14800072,27.77400017,28.0909996,28.22200012,28.37299919,28.58699989,29.04400063,29.05800056,29.40500069,29.7159996,29.31599998,29.14100075,28.79100037,28.2670002,27.75399971
Cote d'Ivoire,11.6260004,11.65400028,11.65600014,11.54399967,11.54100037,11.53199959,11.54100037,11.49400043,11.46899986,11.55200005,11.57600021,11.68400002,11.77400017,11.62800026,11.53299999,11.54699993,11.51799965,11.5340004,11.47700024,11.49800014,11.66800022,11.45699978,11.38399982,8.180999756,5.644999981,3.694000006,3.655999899,3.621999979,3.589999914
Cameroon,7.791999817,7.777999878,7.752999783,7.72300005,7.775000095,7.744999886,7.756000042,7.796000004,7.809999943,7.813000202,7.81400013,7.986000061,8.156999588,8.37100029,8.668000221,9.038999557,9.475999832,9.647999763,9.795999527,9.975000381,10.12100029,10.30599976,10.44900036,10.60299969,10.54199982,10.51399994,10.50300026,10.47999954,10.44900036
"Congo, Dem. Rep.",4.342999935,3.917999983,3.670000076,3.372999907,3.388000011,3.515000105,3.164000034,3.036999941,2.892999887,2.859999895,3.252000093,3.326999903,3.232000113,3.302999973,3.299000025,3.312000036,3.467000008,3.440000057,3.657000065,3.599999905,3.651000023,3.750999928,3.894000053,4.052999973,4.243999958,4.352000237,4.361999989,4.385000229,4.410999775
"Congo, Rep.",22.1420002,22.09499931,22.13400078,22.84000015,22.86800003,23.13199997,23.40500069,22.91799927,23.70400047,24.00399971,23.67900085,23.48999977,23.38899994,23.55200005,23.66799927,23.73399925,23.59399986,23.7159996,23.43899918,23.51499939,23.48500061,23.30200005,23.12199974,22.87800026,22.13699913,22.07900047,22.2310009,22.22200012,22.28700066
Colombia,18.65299988,18.47100067,18.33399963,18.14299965,18.01199913,17.84900093,17.70299911,17.57299995,17.46899986,17.3029995,17.18700027,17.12899971,16.84499931,16.8390007,16.83600044,16.34000015,15.81499958,15.83100033,15.85299969,15.84200001,16.05200005,15.94200039,14.71500015,14.31999969,13.9829998,13.30700016,13.95100021,13.82400036,13.68900013
Comoros,12.28800011,12.61400032,12.6420002,12.25399971,12.24800014,12.06200027,12.10599995,12.03199959,11.98600006,12.40299988,12.36100006,12.32299995,12.27200031,12.21199989,12.18200016,12.15699959,12.2670002,12.06000042,12.1590004,11.82600021,11.89900017,11.91600037,11.95300007,12.34300041,12.5369997,12.55099964,12.54800034,12.60900021,12.68599987
Cabo Verde,17.96899986,17.57699966,17.18400002,16.50600052,15.98099995,15.66399956,15.20199966,14.78499985,14.56099987,14.18799973,13.92199993,13.73600006,13.69900036,13.47000027,13.26200008,13.02099991,12.61400032,12.61499977,12.65499973,12.47099972,12.37699986,12.23700047,12.24699974,12.31200027,12.28199959,12.1590004,12.09000015,12.01299953,11.93400002
Costa Rica,18.86899948,18.59399986,18.29000092,18.10000038,17.96299934,17.80599976,17.78700066,17.59700012,17.43600082,17.19300079,17.1439991,14.97200012,14.43700027,13.11800003,12.59700012,12.75800037,12.89099979,13.0010004,12.14900017,11.33899975,10.41600037,9.524999619,8.06799984,9.640999794,9.628000259,9.104000092,9.906000137,9.800999641,9.694999695
Caribbean small states,12.94064522,12.61394165,12.51774418,12.46730983,12.44829194,12.19750481,11.32130894,10.6655003,10.02577759,9.428426529,9.119961163,9.323161927,9.083286618,9.137921319,9.308891981,8.94797112,9.326917799,9.380374571,9.205120661,9.082110152,8.990844545,8.829640795,8.559039974,8.429982813,8.335223637,8.379352205,8.341665194,8.236039209,8.154324997
Cuba,22.22800064,21.95199966,20.95100021,18.97599983,15.90200043,15.93999958,15.95600033,14.77600002,13.73799992,13.76099968,13.56799984,13.3380003,13.07999992,12.82900047,12.68299961,12.48700047,12.33699989,11.85700035,11.67000008,11.51000023,12.02799988,13.44900036,11.29899979,10.81299973,10.74100018,10.66899967,10.57199955,10.47799969,10.38199997
Cyprus,24.71100044,23.28199959,20.44199944,18.65099907,17.84300041,16.92099953,15.98099995,14.95699978,13.94400024,12.98499966,12.34000015,11.93599987,11.11999989,10.47599983,10.35299969,10.03199959,9.479999542,9.618000031,9.467000008,9.199999809,8.420999527,8.345000267,7.311999798,7.045000076,6.322000027,6.40899992,6.900000095,6.852000237,6.78000021
Czech Republic,33.07300186,32.84999847,32.52299881,31.40099907,30.72999954,30.29299927,29.31800079,29.01099968,28.0340004,27.21500015,28.36100006,27.84199905,27.28000069,26.7859993,26.48600006,27.02300072,26.80900002,26.73699951,24.06299973,23.20199966,23.88999939,23.33399963,22.91200066,23.59799957,23.74799919,24.14500046,24.21999931,23.97999954,23.73699951
Germany,20.62700081,20.20299911,19.71800041,19.50499916,20.20999908,19.4260006,18.89299965,18.89800072,18.49099922,18.28000069,17.87999916,17.61599922,16.92099953,17.00900078,16.01799965,16.01499939,15.95400047,15.00899982,14.56299973,14.2670002,14.19099998,14.16100025,14.01200008,14.17000008,13.86800003,13.80900002,13.86900043,13.63000011,13.41499996
Djibouti,4.540999889,4.454999924,4.461999893,4.465000153,4.504000187,4.545000076,4.56799984,4.577000141,4.585999966,4.604000092,4.610000134,4.613999844,4.610000134,4.612999916,4.607999802,4.606999874,4.622000217,4.614999771,4.623000145,4.626999855,4.585999966,4.571000099,4.577000141,4.65899992,4.607999802,4.596000195,4.577000141,4.554999828,4.532999992
Denmark,14.9119997,14.77900028,14.56499958,15.06499958,14.94999981,15.07299995,14.4659996,14.64999962,15.38199997,13.5,14.40200043,12.25,11.64000034,12.00899982,12.40600014,11.62899971,12.64299965,12.24300003,10.04899979,9.222000122,9.345999718,9.477000237,9.18200016,9.289999962,9.663999557,9.302000046,8.956999779,8.819000244,8.675999641
Dominican Republic,22.625,22.1590004,21.81699944,21.62000084,21.29500008,21.14999962,21.39800072,22.24900055,20.75300026,20.30999947,17.18199921,15.4460001,15.3409996,15.22000027,15.12199974,14.31499958,13.85299969,14.44999981,9.463000298,9.666000366,9.654999733,10.42199993,8.805999756,9.614999771,8.907999992,9.102999687,9.630999565,9.512000084,9.401000023
Algeria,32.7159996,32.29999924,31.96699905,31.89699936,31.52000046,31.17900085,31.0189991,30.74799919,30.43199921,30.14299965,29.79599953,28.04700089,26.38599968,26.20700073,26.06299973,25.89900017,25.57699966,25.2329998,24.79800034,24.40500069,23.83099937,23.59300041,23.35199928,23.11899948,22.79299927,22.57699966,22.29999924,22.12100029,21.95299911
East Asia & Pacific (excluding high income),21.87782923,22.0339085,22.84513406,23.59777109,24.23150216,24.63971135,24.56963005,23.97864344,23.62883243,23.46567205,23.3461829,23.0462034,23.12567028,23.61981563,24.33395367,24.68766126,24.78991846,24.77886103,24.787582,24.93992461,25.14312876,25.20974387,25.47380513,25.73162984,25.55461287,25.50976549,25.36920185,24.910275,24.45869619
Early-demographic dividend,12.21335996,12.24770915,12.38111549,12.49241115,12.39362331,12.44858441,12.59758618,12.37356069,12.46181695,12.61850294,12.95051466,13.01779484,13.01746947,13.2092304,13.61094374,13.84416186,13.88338584,13.91218017,13.9840929,14.24447933,14.36505138,14.48444937,14.46632164,14.63807651,14.85335638,14.94455815,15.17434096,15.12330304,15.07106614
East Asia & Pacific,22.37136121,22.4477588,23.06816147,23.65706083,24.15451839,24.46780839,24.33829039,23.66746184,23.31121858,23.12385325,22.94103387,22.59279418,22.63516472,23.01881909,23.56583247,23.86141621,23.93913182,23.86945464,23.77716479,23.89445586,24.06191923,24.10943919,24.32315484,24.54175046,24.36741587,24.2900181,24.12763329,23.69688655,23.27666008
Europe & Central Asia (excluding high income),25.2313917,24.7217706,24.3618734,22.77190997,21.58147554,20.83580347,19.49563677,19.02191144,18.68592381,18.7736022,19.27505347,19.48155052,19.11342478,19.13866926,18.78430879,18.50537432,18.28456218,17.69727546,16.88001152,16.71899318,16.34824791,16.32952957,16.14586211,16.22740683,15.75819087,15.7689495,15.64600019,15.55282568,15.46420479
Europe & Central Asia,22.25314029,21.78213263,21.37689481,20.30970662,19.6809599,19.04111727,18.1371311,17.90600873,17.50118541,17.35622702,17.44922754,17.24694328,16.75144841,16.53017292,16.10018027,15.84930452,15.70206289,15.16966189,14.25385903,13.99287958,13.87110085,13.79054703,13.63637946,13.65572114,13.36840781,13.3396216,13.36752343,13.21657384,13.07469054
Ecuador,14.67399979,14.57400036,14.47399998,14.3579998,14.25199986,14.15100002,14.04399967,13.97299957,13.91600037,13.82900047,13.70100021,12.33399963,11.0710001,11.40299988,10.10099983,10.81900024,11.31200027,11.22999954,10.72299957,11.08399963,10.86299992,10.63399982,11.36900043,11.38700008,11.17800045,10.59899998,11.1239996,11.03800011,10.95499992
"Egypt, Arab Rep.",10.33300018,10.34899998,8.100999832,7.381000042,9.243000031,8.661000252,8.050000191,9.090999603,11.16899967,6.863999844,10.13300037,10.35599995,6.160999775,5.782999992,4.910999775,6.008999825,6.149000168,5.541999817,5.122000217,5.927000046,5.093999863,5.506999969,5.059000015,5.015999794,5.618999958,6.209000111,6.854000092,6.808000088,6.763999939
Euro area,19.30530434,18.88421046,18.47416523,18.15041463,18.22613074,17.57878959,17.17311827,17.2424103,16.80313179,16.60273758,16.35835524,15.9808539,15.32337898,14.91662628,14.36894047,14.00498074,13.81675265,13.14786262,12.39214234,12.02998001,12.00213843,11.83666403,11.66278481,11.54710015,11.44160862,11.34557266,11.50631882,11.31775295,11.14871628
Eritrea,4.418000221,4.303999901,4.635000229,4.913000107,5.081999779,5.331999779,5.580999851,5.487999916,5.456999779,5.455999851,5.547999859,5.623000145,5.320000172,5.242000103,5.181000233,5.013999939,4.972000122,4.889999866,4.763999939,4.835000038,4.979000092,5.044000149,5.083000183,5.139999866,5.18599987,5.22300005,5.249000072,5.276000023,5.302000046
Spain,15.55300045,15.28499985,15.1079998,14.39099979,13.96700001,13.61299992,13.65799999,13.74600029,13.48900032,14.44099998,14.36800003,14.31400013,13.31099987,12.78199959,12.42000008,11.6260004,11.60299969,11.21000004,10.06000042,9.534000397,8.887999535,9.039999962,8.465000153,8.42800045,8.666999817,8.425000191,8.845000267,8.68500042,8.536000252
Estonia,31.23800087,29.90500069,27.22200012,26.04500008,26.54899979,25.35400009,25.21299934,23.73600006,22.74200058,22.62299919,25.34499931,22.66300011,22.60000038,25.65200043,24.19099998,21.63699913,21.8029995,22.09300041,19.36800003,17.95599937,19.06299973,17.65200043,17.13800049,17.52300072,17.46899986,17.27199936,17.38800049,17.17300034,16.96500015
Ethiopia,7.907000065,7.270999908,7.833000183,7.850999832,8.078000069,8.619999886,8.607999802,8.210000038,8.437999725,8.723999977,8.913000107,8.798000336,8.31000042,8.68999958,9.067000389,9.090999603,9.137999535,9.125,8.982999802,9.006999969,9.010000229,8.897000313,8.93200016,9.387999535,9.92800045,10.40299988,10.68599987,10.98400021,11.27099991
European Union,20.79801892,20.16484957,19.7095203,19.01664391,18.79181431,18.3483843,17.75528328,17.68360346,17.12463664,16.75647321,16.57997047,16.21336409,15.61884067,15.3232992,14.78889214,14.59395751,14.48965046,13.97906321,12.91759483,12.43438141,12.46984243,12.35221572,12.19631679,12.20400796,12.0520722,12.03914319,12.22599209,12.03937522,11.86512997
Fragile and conflict affected situations,6.480964749,6.359723274,6.283665105,6.182776812,6.365772578,6.50517638,6.595976042,6.620212182,6.637411646,6.613566374,6.720356431,6.845238505,6.81176667,6.81301683,6.837627537,6.95174155,6.97829159,6.983360336,7.172063666,7.310037804,7.502247141,7.646543776,7.680654554,7.601458633,7.519619777,7.367762642,7.357808468,7.321428004,7.292821983
Finland,15.78800011,15.1079998,14.43500042,13.94900036,14.74400043,13.96500015,13.88599968,15.06700039,14.18599987,14.22799969,13.75199986,13.63199997,12.86100006,12.34500027,12.28199959,11.84700012,11.45499992,10.3920002,9.960000038,9.902000427,9.291000366,9.050999641,9.065999985,8.616999626,8.734000206,8.80700016,8.55300045,8.397000313,8.272000313
