Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Burkina Faso,10.4659996,10.40400028,10.41800022,10.00399971,10.77700043,11.85000038,13.09799957,14.34399986,16.00600052,17.875,19.36800003,21.22400093,22.90800095,25.26199913,27.54500008,30.2140007,32.95600128,34.59799957,37.04299927,39.125,40.35100174,42.3730011,44.56399918,45.58200073,45.91799927,45.28499985,45.50699997,45.72600174,45.90399933
Bangladesh,1.600999951,2.506999969,3.779000044,5.425000191,7.558000088,10.26799965,11.24499989,11.94900036,12.35999966,12.5710001,13.55000019,14.5340004,15.61100006,16.69099998,17.85899925,19.30900002,19.86599922,20.38500023,20.86199951,21.42200089,21.1970005,21.03700066,20.84799957,20.74099922,20.72699928,20.6779995,23.37700081,23.82999992,24.27199936
Bulgaria,46.64400101,48.09700012,49.98500061,51.82899857,53.59500122,55.5,57.02799988,58.81800079,60.45700073,62.13800049,64.03600311,63.05799866,63.68299866,63.18600082,64.33000183,65.8730011,65.8690033,65.58899689,67.83999634,70.72799683,71.28399658,70.6269989,71.72699738,72.22599792,72.93099976,73.38400269,72.9280014,73.1740036,73.43399811
Bahrain,92.50700378,92.18900299,91.85099792,91.02300262,90.25299835,89.84400177,89.18099976,88.7990036,88.10399628,87.25,86.39700317,87.3219986,88.1989975,88.97799683,89.51599884,89.92700195,90.26999664,90.44100189,90.90000153,90.90699768,90.85099792,90.87599945,90.88300323,90.8769989,90.74500275,90.76499939,90.875,90.98000336,91.0759964
"Bahamas, The",93.4260025,93.48899841,93.80200195,93.14700317,93.63200378,93.07299805,92.17099762,93.44200134,93.6190033,93.06400299,92.48799896,94.0719986,93.93199921,94.47599792,94.61599731,94.48799896,94.40799713,95.12999725,95.8690033,95.88600159,95.93900299,95.92099762,95.98400116,96.02700043,96.13200378,96.17299652,96.2009964,96.21700287,96.2440033
Bosnia and Herzegovina,54.85400009,55.09500122,55.47100067,56.17300034,57.0320015,58.80699921,59.72000122,60.23300171,60.83100128,61.26100159,61.65499878,62.06399918,62.43099976,62.84500122,63.31399918,63.67499924,64.03099823,64.36499786,64.56300354,64.95899963,65.27200317,65.63300323,65.8690033,66.38600159,66.66600037,67.16799927,67.26499939,67.64199829,67.97599792
Belarus,68.90499878,69.03700256,69.1269989,69.30500031,69.4260025,69.54599762,69.81800079,70.01599884,70.19200134,70.34999847,70.52300262,70.68800354,70.86100006,71.0510025,71.22899628,71.39900208,71.57800293,71.74900055,71.90299988,72.08499908,72.33999634,72.48999786,72.59700012,72.76799774,72.98999786,73.48000336,72.96399689,73.13300323,73.29100037
Belize,82.04000092,82.43399811,82.68699646,83.78900146,84.96800232,84.78399658,79.17099762,84.35700226,82.18000031,82.99700165,83.71199799,84.38600159,85.22100067,85.88899994,86.48999786,86.32299805,86.16200256,86.06800079,86.12999725,86.11299896,86.05000305,86.16799927,86.40299988,86.85800171,87.08899689,88.47299957,86.52500153,86.62999725,86.7480011
Bolivia,46.88299942,46.98799896,47.2820015,47.53900146,47.75899887,48.0530014,48.40999985,48.79700089,48.81700134,53.08000183,48.75400162,50.16199875,54.6609993,54.63600159,51.86800003,52.57600021,54.15100098,57.75400162,58.6629982,58.77299881,58.88600159,61.92499924,60.7840004,58.94100189,60.69200134,59.83399963,61.61600113,61.81100082,61.99499893
Brazil,71.16699982,71.26399994,71.34400177,71.4489975,71.6309967,72.92099762,72.94799805,73.45600128,73.10099792,72.47599792,71.83699799,71.56900024,71.83699799,71.62799835,71.27200317,72.44400024,73.23400116,73.61100006,74.86599731,76.16500092,77.41300201,81.47599792,82.11599731,82.84899902,83.29100037,84.47599792,85.03199768,85.19300079,85.38800049
Barbados,83.75900269,83.86499786,84.02899933,84.31999969,84.38999939,84.49500275,84.76100159,85.18599701,85.48500061,85.79799652,86.0530014,86.2990036,86.52899933,86.7480011,87.03600311,87.27600098,87.52500153,87.7460022,87.85399628,88.03700256,87.92299652,88.10600281,88.26499939,88.86799622,88.71199799,88.76699829,88.90399933,89.02400208,89.13999939
Brunei Darussalam,89.48600006,89.45200348,89.4469986,89.45300293,89.3239975,89.28199768,88.97699738,88.94499969,88.96499634,88.74299622,88.75499725,88.81099701,88.84300232,88.91100311,88.90799713,89.04699707,89.08999634,88.77400208,88.76200104,88.8730011,88.78099823,88.75700378,88.68399811,88.61100006,89.17199707,89.79000092,90.34300232,90.54199982,90.60299683
